Seq,input,output,json
10581,"제목: 용산 파크자이 40평대, 모던 클래식 인테리어 / 태그: 거실인테리어,모던클래식,루버인테리어,화이트거실인테리어,키친바흐,부엌인테리어,한샘부엌,키친바흐스칸디,대면형부엌,폴딩도어,거실인테리어,라인조명,프렌치클래식,한샘욕실,욕실인테리어,한샘바스,한샘바흐,바흐욕실,바흐바스,아티골드 / 공간: spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0003,spa_0005,spa_0007,spa_0011,spa_9999 / 스타일: sty_0002 / 예산: cos_0009",안방은 유로클래식 빌트인장으로 TV장과 함께 설계했습니다. 파우더룸으로 들어가는 문은 프리미엄 슬라이딩 도어로 공간차지하지 않고 미스트 유리를 적용하여 프라이버시도 확보하였습니다. 바닥재는 와이드 강마루를 제안드립니다. 공용욕실은 프렌치 클래식 모델과 샤워파티션으로 디자인하였습니다. 화이트 그레이 타일로 모던 클래식 컨셉의 완성을 보여줍니다.,"{""keywords"": [""안방"", ""유로클래식"", ""빌트인장"", ""TV장"", ""프리미엄 슬라이딩 도어"", ""미스트 유리"", ""바닥재"", ""와이드 강마루"", ""공용욕실"", ""프렌치 클래식"", ""샤워파티션"", ""화이트 그레이 타일"", ""모던 클래식""], ""style"": [""유로클래식"", ""프렌치 클래식"", ""모던 클래식""], ""colors"": [""화이트"", ""그레이""], ""lighting"": [""자연광"", ""부드러운 조명""], ""space"": [""안방"", ""공용욕실""], ""furniture"": [""빌트인장"", ""TV장""], ""mood"": [""편안함"", ""우아함""], ""composition"": ""안방과 공용욕실이 조화를 이루는 구성"", ""camera_angle"": ""45도"", ""camera_params"": {""fov"": ""35mm"", ""aperture"": ""f/2.8"", ""iso"": ""100"", ""shutter"": ""1/60""}, ""negative"": []}"
21533,"제목: 신혼부부를 위한 25평 깔끔한 화이트스타일 / 태그: 공용욕실,투톤욕실,복도,부감도,빌트인TV장,화이트톤,우드화이트,우드화이트,모던스타일,중문,모던하고깔끔한화이트,피에트라,안방욕실,화이트현관장 / 공간: spa_0008,spa_0001,spa_0009,spa_0010,spa_0003,spa_0005,spa_0007,spa_0011,spa_9999 / 스타일: sty_0002 / 예산: cos_0007","빌트인 TV장을 거실벽면에 설계하여 수납력을 높였습니다. 주방은 하부장에 EO200 루체오크로 설계하여 상 하부장 투톤으로 디자인했습니다. 복도는 깔끔한 화이트톤의 도배로 넓고 길어보이는 효과를 주었으며, 액자로 포인트를 줬습니다. 드레스룸은 바흐장을 활용하여 설계했고, 옷을 입음과 동시에 외출 준비를 한 공간에서 마칠 수 있도록 파우더 책상과 거울도 배치했습니다. 공용 욕실은 주방과 마찬가지로 상,하부 투톤으로 설계하여 포인트를 주었고, 청소 및 유지관리에 용이하도록 한샘바스로 설계했습니다. 현관은 깔끔한 화이트의 신방장을 배치하였고, 외부 소음 및 시선차단 효과를 위해 중문을 설계했습니다. 안방욕실은 크기가 작은 소형욕실로 보다 더 넓어 보기 위해 화이트 톤으로 디자인했으며 공용욕실과 마찬가지로 청소 및 유지관리에 용이하도록 한샘바스로 설계했습니다.","{""keywords"": [""거실"", ""주방"", ""복도"", ""드레스룸"", ""욕실"", ""현관""], ""style"": [""모던"", ""미니멀리즘""], ""colors"": [""화이트"", ""루체오크"", ""투톤""], ""lighting"": [""자연광"", ""부드러운 조명""], ""space"": [""거실"", ""주방"", ""복도"", ""드레스룸"", ""욕실"", ""현관""], ""furniture"": [""빌트인 TV장"", ""하부장"", ""액자"", ""파우더 책상"", ""거울"", ""신발장"", ""중문""], ""mood"": [""깔끔"", ""편안"", ""실용적""], ""composition"": ""다양한 공간이 조화롭게 배치된 인테리어"", ""camera_angle"": ""정면"", ""camera_params"": {""fov"": ""50"", ""aperture"": ""2.8"", ""iso"": ""100"", ""shutter"": ""1/60""}, ""negative"": [""혼잡한"", ""어두운"", ""복잡한 디자인""]}"
9945,"제목: 패셔니스타 부부의 감각적 공간 / 태그: 그레이휴판넬,감각적인욕실,스칸디블랙,깔끔한서재,독립형파우더룸,빠른외출준비,드레스룸아일랜드수납,화이트아일랜드수납,리네아판넬,블랙앤화이트욕실,리네아판넬,블랙앤화이트욕실,모던욕실,매트화이트주방,신혼부부주방,카라라화이트벽판넬,매트화이트주방,유로주방,메이식탁,한샘메이,멀티방꾸미기,멀티방꾸미기,피씨룸꾸미기,서재꾸미기,발코니홈카페,타원형식탁,블루소파,패브릭소파,홈카페,발코니홈카페,신혼부부거실,빌트인플러스,빌트인플러스붙박이장,빌트인플러스드레스룸,빌트인플러스드레스룸,넉넉한수납,빌트인플러스서재,수납과서재가동시에,빌트인플러스옷장,빌트인플러스드레스룸,깔끔한드레스룸,바흐드레스룸,선반을책상으로,선반활용하기,선반아이디어,신혼부부침실,심플한현관장,톤다운된현관장,유로602,안전한침대,필로우침대,편안함,유로602네이비,에어레더,에어레더침대,똑똑한침대,타원형테이블인테리어,홈카페,발코니홈카페,포인트컬러침실,은은한침실,한샘메이,매트화이트,유로키친,한샘중문,3연동중문,화이트오크바닥재,거실철제선반장,TV자리,철체형책상 / 공간: spa_0008,spa_0001,spa_0009,spa_0010,spa_0003,spa_0005,spa_0007,spa_0004,spa_0011,spa_9999 / 스타일: sty_0002 / 예산: cos_0004",도현마을현대 아이파크 39평형 아파트입니다. 방 3개 욕실 2개 구조로 신혼부부가 거주하기에 충분한 공간과 부엌과 거실이 분리형 구조로 되어 있답니다! 라이트그레이 벽지와 화이트오크 바닥재로 깔끔하면서도 차분한 무드를 연출해보았어요! 그린네이비의 소파가 리듬감을 더하지요! 거실 한 켠 철제 선반장은 발코니에서 홈카페를 즐기기 용이한 동선을 만들어준답니다! 그레이 마감의 빌트인플러스장에는 자주 입지 않는 계절의 옷을 보관할 수 있어요! 패션에 관심이 많은 부부를 위해 수납을  극대화한 드레스룸이에요. 노출 시스템장에는 계절에 맞는 옷과 여자들의 로망인 핸드백 수납까지 한번에 해결 된답니다! 그레이 마감의 빌트인플러스장에는 자주 입지 않는 계절의 옷을 보관할 수 있어요!,"{""keywords"": [""아파트"", ""신혼부부"", ""거실"", ""부엌"", ""드레스룸""], ""style"": [""현대"", ""미니멀리즘""], ""colors"": [""라이트그레이"", ""화이트오크"", ""그린네이비"", ""그레이""], ""lighting"": [""자연광"", ""부드러운 조명""], ""space"": [""39평형"", ""3개 방"", ""2개 욕실""], ""furniture"": [""소파"", ""철제 선반장"", ""빌트인장"", ""시스템장""], ""mood"": [""차분한"", ""깔끔한""], ""composition"": ""거실과 부엌이 분리된 구조"", ""camera_angle"": ""전경"", ""camera_params"": {""fov"": ""35mm"", ""aperture"": ""f/4"", ""iso"": ""200"", ""shutter"": ""1/60""}, ""negative"": []}"
10586,"제목: 거실 속 다이닝 룸이 있는 집 / 태그: 공틀도어,조이s침실,아이방가구,다이닝거실,바흐902,몰트소파,바흐몰트소파,바흐902,바흐902,그레이소파,대형소파추천,바흐902,화이트소파테이블,큐브형소파테이블,복도형주방리모델링,화이트ㅡ자주방,블루포인트,조이s침실세트,조이s책상,빌트인플러스거실장,빌트인플러스TV장,화이트거실장,빌트인거실장,거실숨김수납,스칸디블랙,어두운욕실,그레이욕실,그레이판넬,심플한침실,모던클래식침실,월넛침대,ㅡ자주방,화이트주방,유로주방,유로100,매트화이트,매트화이트주방,어반월넛침대,어반월넛침실,어반월넛협탁,천연무늬목,나무결침대,차분한침실,원목다이닝,티타임,작은다이닝,원형식탁세트,작은원형식탁,작은다이닝,작은원목다이닝,조이s매직데스크,공부잘되는책상,높이조절책상,멀티책상,매직데스크,조이s옷장,조이s침대,조이s침실세트,조이s매직데스크,조이s침실,조이s단독책상,6단단독책상,조이s침대,좁은평수중문,고시형중문,3연동중문,좁은현관중문,외풍차단,공간분리,좁은현관현관장,작은현관리모델링,화이트현관장,침실붙박이장,침실벽면활용,계절옷보관,포인트컬러가구,조이s시리즈,조이s매직데스크,화이트원목식탁,4인원목식탁,원목다이닝,확장발코니식탁,확장발코니식탁,확장발코니활용,브런치 / 공간: spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0002,spa_0007,spa_0011,spa_9999 / 스타일: sty_0002 / 예산: cos_0005","수원 호매실동에 위치한 25평 아파트입니다. 방 세 개와 욕실 하나로 이루어져있습니다. 2bay 구조에서 거실 발코니를 확장하고 주방 옆 침실 발코니도 확장한 상태입니다. 욕실 옆 작은 방에는 붙박이장이 시공되어있습니다. 아이들에게 각자의 방을 꾸며주다 보니 별도의 드레스룸을 둘 수 없어 수납공간이 부족해요. 그럴 땐 거실에 빌트인 TV장을 설치해보세요. 온 가족의 물건들을 깔끔하게 숨김수납할 수 있답니다. 벽면을 꽉 채우는 빌트인 가구를 설치했기 때문에 맞은편 소파는 높이가 낮은 제품을 선택해 답답한 느낌을 없앴어요. TV를 볼 때 다리를 뻗을 수 있고, 손님이 왔을 때는 개별 의자로 활용할 수 있는 스툴도 추가하였어요. 소파 앞에 배치한 소파테이블은 소파처럼 가로로 긴 형태이면서 부피감이 작은 큐브형태예요. 부엌은 깔끔하게 ㅡ자 형태로 설치했어요. 밀란 매트 화이트 도어를 사용하였어요. 침대와 작은 협탁, 그리고 붙박이장이 있는 심플한 부부침실입니다. 아이들 방에 부족한 수납공간을 비교적 넓은 안방에서 해결하면서도, 차분한 침실 분위기를 유지하려고 했어요. 침대와 협탁은 같은 바흐 어반월넛 시리즈예요. 천연 무늬목으로 만들어져 고급스러운 멋이 있어요. 현관 옆에 위치한 첫번째 자녀방이에요. 노란색을 좋아하는 아이를 위해 포인트 컬러 선택이 가능한 조이S 시리즈로 방을 꾸며보았어요. 가방걸이부터 책장선반, 옷장 손잡이, 의자 패브릭까지, 곳곳에 노란 포인트가 들어가 있답니다. 또 다른 자녀방은 화이트워시 컬러의 시원하고 깨끗한 느낌을 살릴 수 있는 블루 컬러로 포인트를 주었어요. 앞서 보았던 방과 마찬가지로 조이S 시리즈로 구성했어요. 컬러포인트가 많은 집이어서, 현관은 깨끗한 화이트로 통일하였답니다. 20평대 아파트에서 흔히 볼 수 있는 구조인데요, 거실과 현관이 바로 이어져 있어 외부로부터 공간을 한 번 더 차단해 줄 중문 설치가 필수예요. 이 집에는 공간을 확실히 분리하기 위해 하부가 가려진 고시형 중문을 설치하였어요.","{""keywords"": [""아파트"", ""거실"", ""주방"", ""침실"", ""욕실"", ""수납공간"", ""빌트인 가구"", ""아이 방""], ""style"": [""모던"", ""심플""], ""colors"": [""화이트"", ""노란색"", ""블루"", ""어반월넛""], ""lighting"": [""자연광"", ""부드러운 조명""], ""space"": [""거실"", ""주방"", ""부부침실"", ""자녀방"", ""현관""], ""furniture"": [""소파"", ""소파테이블"", ""스툴"", ""침대"", ""협탁"", ""붙박이장"", ""책장선반"", ""의자""], ""mood"": [""차분한"", ""아늑한"", ""깔끔한""], ""composition"": ""거실과 주방이 연결된 구조, 각 방에 포인트 컬러가 있는 디자인"", ""camera_angle"": ""wide-angle"", ""camera_params"": {""fov"": ""90"", ""aperture"": ""2.8"", ""iso"": ""200"", ""shutter"": ""1/60""}, ""negative"": [""혼잡한"", ""어지러운"", ""어두운""]}"
16524,"제목: 동작구 흑석 한강 푸르지오 32평, 화이트 인테리어 / 태그: 거실인테리어,화이트인테리어,30평거실,안방인테리어,붙박이장,수납인테리어,욕실인테리어,타일욕실,대형타일,600각,주방인테리어,화이트주방,현관인테리어,중문인테리어 / 공간: spa_0008,spa_0001,spa_0009,spa_0010,spa_0007,spa_0011,spa_9999 / 스타일: sty_0002 / 예산: cos_0008",현관 좁은 현관 넓이로  좁은 공간에 알 맞은 폴드윙 중문을 시공하였습니다. 폴드윙 중문은 앞뒤로 개패가 가능함으로 손에 많은 짐을 들고 있을 떄 굉장히 유용한 중문 입니다. *주요 시공: 폴드윙 중문* 욕실 600각 타일을 이용해 공간을 넓어보이게 만들었고 조명거울을 통해 공간에 포인트를 주었습니다. *중요시공: 거울조명 *,"{""keywords"": [""현관"", ""좁은 공간"", ""폴드윙 중문"", ""욕실 타일"", ""조명거울""], ""style"": [""모던"", ""미니멀리즘""], ""colors"": [""화이트"", ""그레이"", ""블랙""], ""lighting"": [""자연광"", ""인공조명""], ""space"": [""좁은 현관"", ""욕실""], ""furniture"": [""폴드윙 중문"", ""조명거울""], ""mood"": [""실용적"", ""편안함""], ""composition"": ""중문과 조명거울이 중심에 배치된 구조"", ""camera_angle"": ""정면"", ""camera_params"": {""fov"": ""50"", ""aperture"": ""2.8"", ""iso"": ""100"", ""shutter"": ""1/60""}, ""negative"": [""혼잡한 공간"", ""어두운 조명""]}"
20881,"제목: 따뜻한 인테리어 느껴보세요 / 태그: 무드화이트,화이트인테리어,키친핏냉장고,깔끔함,화이트,심플리모델링,따뜻한,30평대거실 / 공간: spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0003,spa_0004,spa_0011,spa_9999 / 스타일: sty_0004 / 예산: cos_0009","주방 주방은 기존에 'ㄱ'자 구조에서 11자 구조로 재해석했습니다. - 11자 구조 로 부엌 공간을 설계하고 카페장으로 가벽을 만들어 거실공간과 분리할 수 있게 설계했습니다. 카페장 을 설계함으로써 수납공간을 늘려 넣었습니다. - 거실에서 바라볼 때 카페장 이 먼저 보일 수 있게 구조를 설계하였습니다. * 주요 시공: 밀란 무드화이트, 가벽 신설, 11자 주방, 카페장, 인덕션, 사각 싱크볼 안방 - 침실공간을 나누어 드레스룸 으로 사용할 수 있는 공간을 새로 연출했습니다. - 기존에 붙박이장 과 시스템 행거 활용하여 수납공간을 늘리고 하나의 또 다른 공간으로 완성시켰습니다. (붙박이장 내부는 고객님에 사용도에 따라 디자인 변경이 가능합니다.) - 벽으로 막혀 답답한 공간을 프로젝트 창 으로 빛과 공기 순환을 도울 수 있는 역할을 합니다. - 통로는 아치형 게이트 로 밋밋할 수 있는 부분을 포인트화 시켰습니다. *주요 시공: 슬라이딩 붙박이장, 빌트인 화장대, 시스템 행거, 가벽 신설, 프로젝트창 신설, 아치형 게이트 자녀방 - 발코니 확장 을 통해 공간 사용 폭을 늘렸습니다. - 공부를 할 수 있는 환경 을 만들어 줄 수 있게 책상이 차지고 하고 있는 비중을 가장 크게 늘렸습니다. *주요 시공: 발코니 확장, 빌트인 책상, 수납 현관 - 행잉현 현관장 (하부띄움)으로 시공하여 신발정리가 편리하도록 설계했습니다. - 현관장 하부에 간접조명 을 설치해 인테리어 효과 및 이동하실때 어둡지 않게 설계헸습니다. - 슬림 3연동 중문 을 설계한 이유는 현관에서 들어올 때 좁아 보이지 않게 신경 쓴 부분입니다. - 중문을 시공하기 위해선 파티션 이 필요한 현장입니다. - 아치형 파티션 을 설치해 공간에 포인트를 주었습니다. * 주요 시공: 행잉형 현관장, 아치형 파티션, 600*600바닥 타일, 3연동 중문","{""keywords"": [""주방"", ""카페장"", ""드레스룸"", ""발코니 확장"", ""행잉형 현관장"", ""아치형 게이트"", ""슬라이딩 붙박이장""], ""style"": [""모던"", ""미니멀리즘""], ""colors"": [""화이트"", ""밀란 무드화이트""], ""lighting"": [""간접조명"", ""자연광""], ""space"": [""주방"", ""거실"", ""안방"", ""자녀방"", ""현관""], ""furniture"": [""인덕션"", ""사각 싱크볼"", ""빌트인 화장대"", ""빌트인 책상"", ""슬라이딩 붙박이장""], ""mood"": [""편안함"", ""실용성""], ""composition"": ""11자 구조의 주방과 카페장, 아치형 게이트가 있는 공간"", ""camera_angle"": ""정면"", ""camera_params"": {""fov"": ""35mm"", ""aperture"": ""f/4"", ""iso"": ""200"", ""shutter"": ""1/60""}, ""negative"": []}"
15955,"제목: 하단 가락타운1단지 아파트 - 중문위치이동으로 현관공간 넓히기 / 태그: 발코니반침장,타일파티션,타일욕실,한샘침대,침실헤드보드,헤드보드선반,한샘현관장,현관확장공사,신발장,중문 / 공간: spa_0008,spa_0001,spa_0009,spa_0006,spa_0010,spa_0003,spa_0007,spa_0004,spa_0011,spa_9999 / 스타일: sty_0002 / 예산: cos_0006","/한샘 키친바흐 스칸디세이지, 라인매립등, 주방옆방 확장/","{""keywords"": [""한샘"", ""키친바흐"", ""스칸디세이지"", ""라인매립등"", ""주방"", ""확장""], ""style"": [""스칸디나비아"", ""모던""], ""colors"": [""화이트"", ""우드"", ""그레이""], ""lighting"": [""자연광"", ""인공조명""], ""space"": [""주방"", ""옆방""], ""furniture"": [""주방가구"", ""바닥"", ""의자""], ""mood"": [""편안함"", ""아늑함""], ""composition"": ""주방과 옆방이 연결된 공간"", ""camera_angle"": ""wide shot"", ""camera_params"": {""fov"": ""24mm"", ""aperture"": ""f/4"", ""iso"": ""200"", ""shutter"": ""1/60""}, ""negative"": []}"
13613,"제목: 군산 한라비발디 1단지 48평  우드&화이트 홈카페 인테리어 이렇게 가능합니다. / 태그: 거실인테리어,확장공사,새로운구조,48평대거실,군산한라비발디,48평아파트,확장형,다이닝룸,통창뷰,대리석식탁,시스템행거,바흐화이트,오픈형드레스룸,드레스룸,한샘바스,샤워형,휴플로어,우드인테리어,홈카페,아일랜드,모던,우드,홈바,48평대면형,11자형,개방형다이닝 / 공간: spa_0008,spa_0001,spa_0010,spa_0003,spa_0007,spa_9999 / 스타일: sty_0002 / 예산: cos_0009","주방 주방은 거실에서 바라봤을때 반절 이상을 가리고 있던 가벽이 있어서, 답답함과 가족간의 대화시 얼굴을 마주하고 얘기 할수없고 동선이 불편했던 기존 구조와 달리 오픈형 주방 으로 설계 했습니다. 기존에 벽면에 있던 후드 구멍 천정으로 타공 작업해서 아일랜드 후드로 거실에서 개수,가열대가 모두 자유롭게 트여 있으며 벽면 쪽으로 키큰장과 냉장고장을 설계하여 답답해 보일 수 있는 구조와 수납 공간 두마리 토끼를 잡은 구조입니다! *point: 11자형 대면형 주방, 아일랜드 후드, 빌트인 인덕션, 사각 싱크볼, 키친핏 빌트인 수납장","{""keywords"": [""주방"", ""오픈형"", ""아일랜드 후드"", ""빌트인 인덕션"", ""사각 싱크볼"", ""키친핏 빌트인 수납장""], ""style"": [""모던"", ""미니멀리즘""], ""colors"": [""화이트"", ""그레이"", ""블랙""], ""lighting"": [""자연광"", ""LED 조명""], ""space"": [""오픈형 주방"", ""거실""], ""furniture"": [""아일랜드"", ""수납장"", ""냉장고""], ""mood"": [""편안함"", ""친근함""], ""composition"": ""주방과 거실이 연결된 오픈형 구조로, 아일랜드 후드가 중심에 위치하고, 벽면에는 키큰장과 냉장고가 배치되어 있음."", ""camera_angle"": ""정면"", ""camera_params"": {""fov"": ""50"", ""aperture"": ""2.8"", ""iso"": ""100"", ""shutter"": ""1/60""}, ""negative"": [""좁은 공간"", ""답답한 느낌""]}"
29071,"제목: 인천 미추홀구 학익동 풍림아이원, 33평 아파트 인테리어 / 태그: 가벽드레스룸,공간분리드레스룸,제작드레스룸,한샘드레스룸,바살트베이지,바살트그레이,한샘욕실,한샘원데이욕실,한샘욕실공사,조명거울,복층인테리어,복층실링팬,서재,입구방인테리어,서재꾸미기,서재인테리어,아이방,아이방인테리어,자녀방,자녀방인테리어,한샘샘키즈,한샘자녀방,안방공간분리,안방가벽인테리어,안방인테리어,안방가벽,안방드레스룸,예림중문,한샘중문,여닫이중문,한샘여닫이중문,골드손잡이,우드중문,우드여닫이,오픈드레스룸,드레스룸인테리어,탑층인테리어,한샘밀란,한샘무드화이트,한샘무드화이트주방,무드화이트,무드화이트주방,한샘인테리어,한샘키친판넬,한샘바스,한샘욕실,한샘욕실인테리어,한샘SPC,한샘빌트인장,한샘빌트인맞춤장,한샘서랍장,한샘싱크볼,한샘사각싱크볼,한샘수전,한샘주방수전,한샘아일랜드,한샘아일랜드후드,한샘후드,한샘탄소필터후드,탄소필터후드,한샘주방,한샘무드화이트,한샘현관장,한샘벤치장,한샘벤치,한샘인테리어,현관인테리어,현관,화이트현관,현관문필름,벤치장 / 공간: spa_0008,spa_0001,spa_0009,spa_0010,spa_0003,spa_0007,spa_0011 / 스타일: sty_0002 / 예산: cos_0008","이번 공간은 안방을 소개해드리려고 합니다. 고객님의 니즈 는 드레스룸을 따로 나누고 싶은데 안방의 구조가 안방 욕실 앞에 작은 화장대 정도만 들어갈수 있는 사이즈의 공간만 되어있어 옷을 둘 수 있는 공간분리 를 원하셨습니다. 한쪽으로 고객님 침대 프레임에 맞춰 가벽을 설치하고 반대편은 드레스룸으로 사용하실수 있도록 제안드렸습니다. 아직 정해지지않은 입구방과 주방 옆방의 배치를 제안드려보려합니다. 자녀분이 계시고 글을 읽으셔야하는 직업을 가지고 계셔서 입구방은 반듯한 느낌은 아니어서 서재로 제안드려보려고 합니다. 창가쪽으로 책상을 두고 날개벽쪽으로 책장을두어 집에서도 업무를 보실수있게 꾸며보았습니다^_^ 주방 옆방은 네모 반듯한 방 구조로 되어있어 가구 배치를 편하게 하실수 있을거같아 자녀방으로 꾸며드려봤습니다~! 이번 욕실은 한샘에서만 만나보실수있는 한샘 SPC 판넬 욕실 입니다. SPC 욕실 은 방해석 70% + 기능성 첨가제 30% 혼합한 보드로 대리석 패턴의 시트지를 고온 압착 후 코팅한 제품 입니다. 말그대로 Stone panel 제품 으로, 자연석재 이미지를 리얼하게 표현한 제품입니다. SPC 판넬의 가장 큰 장점은 무몰딩 으로 ?판넬과 판넬 사이에 마감재를 없앴습니다. 깔끔하고 넓어 보이는 효과 뿐만아니라 고급스러운 욕실 연출이 가능합니다. 타일과는 다르게 사이에 메지가 사용되지않아 곰팡이나 변색,오염 등 청소 관리가 매우 편안한 제품 입니다. 바닥은 휴플로어라는 제품으로 한판으로 깔리는 욕실 바닥재라고 보시면 됩니다. 바닥재의 상부층은 논슬립 표면으로 미끄럼방지 기능 이 되어있어 어린 자녀나 어르신이 계신 집에 많이 추천드리는 제품입니다. 약간의 쿠션층이 있어 타일과는 다르게 부드럽고 차갑지 않아 따뜻한 욕실 을 사용하실수 있습니다. 또 방수 베이스층은 바닥에 수분이 침투하지 않게 고강도의 방수막 을 형성하고있고 향균층은 곰팡이와 세균번식을 억제하는 소재로 바닥재 역시 청소 관리가 매우 편리한 제품 입니다. 거실욕실은 SPC 바살트 그레이 제품으로 진한 그레이색상의 호텔욕실의 느낌으로 설계 제안 드렸습니다. 안방욕실 역시 한샘 SPC 판넬 욕실 로 설계 제안 드렸고 거실과는 다르게 조금 밝고 따뜻한 분위기에 바살트 베이지 로 베이스를 넣고 욕조 부분은 바살트 그레이 로 포인트를 넣어드렸습니다.","{""keywords"": [""안방"", ""드레스룸"", ""서재"", ""자녀방"", ""욕실"", ""SPC 판넬"", ""고급스러운"", ""편안한""], ""style"": [""모던"", ""미니멀리즘""], ""colors"": [""베이지"", ""그레이"", ""화이트""], ""lighting"": [""자연광"", ""부드러운 조명""], ""space"": [""안방"", ""서재"", ""자녀방"", ""욕실""], ""furniture"": [""침대"", ""가벽"", ""책상"", ""책장"", ""욕조""], ""mood"": [""편안함"", ""아늑함"", ""고급스러움""], ""composition"": ""안방과 드레스룸, 서재, 자녀방, 욕실이 조화롭게 배치된 구조"", ""camera_angle"": ""45도"", ""camera_params"": {""fov"": ""35mm"", ""aperture"": ""f/2.8"", ""iso"": ""200"", ""shutter"": ""1/60""}, ""negative"": [""혼잡한"", ""어수선한""]}"
9086,"제목: 깔끔하고 단정하게 변신 / 태그: 거실리모델링,거실간접조명,환한거실만들기,딥그린도어,딥그린현관,현관빈티지타일,모노캐시미어,모노캐시미어키친,한샘인기주방,모루유리중문,유리중문,투명중문,먼지차단,외풍차단,밀란바스,욕실리모델링,밀란뉴트럴브라운,뉴트럴브라운,발코니리모델링,침실가벽,화이트가벽,가벽인테리어,폴딩도어시공,거실폴딩도어,한샘폴딩도어,프랑케 바닐라 후드 ,화이트침실 / 공간: spa_0008,spa_0001,spa_0009,spa_0010,spa_0007,spa_0004,spa_0011 / 스타일: sty_0002 / 예산: cos_0005",-한샘의 뉴트럴 브라운 상부장 . 하부장 & 휴판넬 콘크리트 화이트 & 휴플로어,"{""keywords"": [""한샘"", ""뉴트럴 브라운"", ""상부장"", ""하부장"", ""휴판넬"", ""콘크리트 화이트"", ""휴플로어""], ""style"": [""모던"", ""미니멀리즘""], ""colors"": [""브라운"", ""화이트"", ""그레이""], ""lighting"": [""자연광"", ""부드러운 조명""], ""space"": [""주방"", ""거실""], ""furniture"": [""상부장"", ""하부장"", ""휴판넬""], ""mood"": [""편안한"", ""세련된""], ""composition"": ""중앙에 주방 가구 배치"", ""camera_angle"": ""정면"", ""camera_params"": {""fov"": ""50mm"", ""aperture"": ""f/2.8"", ""iso"": ""100"", ""shutter"": ""1/60""}, ""negative"": []}"
